,GARCH,EGARCH,GJR-GARCH,HAR-RV,LightGBM,XGBoost,Ensemble,actual
2023-03-20,0.19095990616672207,0.20476614279350824,0.18925175190830543,0.18402336412634096,0.14470923455816012,0.13787839,0.17323083495040772,0.15637175433052125
2023-03-21,0.1851735303813423,0.20157571686461787,0.17944403212030532,0.18875147889882646,0.14843638449889934,0.15063435,0.1741204645930227,0.12724722724717508
2023-03-22,0.1875381426032349,0.20668911986700914,0.17099342032156187,0.1830158176925154,0.17728347405295997,0.17966111,0.18261247811623674,0.11124618198637139
2023-03-23,0.19835834249484852,0.21865415782839573,0.19934650124441092,0.19553308794764235,0.1997791581958211,0.18545292,0.19789019621277068,0.11646903744671942
2023-03-24,0.18590628728833983,0.20272820635278316,0.18833992675151834,0.17892565134634747,0.1791074319941171,0.18411954,0.1813131235429348,0.14941662906204115
2023-03-27,0.17641835966617914,0.1934471998359712,0.17825403107779209,0.17206539971965334,0.14692675622212106,0.1439534,0.16513683853598451,0.15124764424099568
2023-03-28,0.1653687217028615,0.178232313730836,0.16873039289161135,0.1645134298295391,0.14997251006880122,0.15789165,0.15995155386706725,0.15637893108533277
2023-03-29,0.15526675035151977,0.16469055729184878,0.16028803960534466,0.14882018249041454,0.15927060838113338,0.15090789,0.15445251374102256,0.12122597197911167
2023-03-30,0.16578532520721978,0.177133998306655,0.15354382711888553,0.1361186011372524,0.13581854801700646,0.12710911,0.14590749145382623,0.11705621097495135
2023-03-31,0.1586202581302881,0.17130060359616306,0.14613449837848214,0.13496845877887742,0.1291689231655738,0.14464664,0.14091921335824645,0.058290160247907424
2023-04-03,0.1689965778373895,0.18327093957510904,0.14067681456473383,0.14793393333138616,0.11758838422694738,0.12119749,0.14483963179857437,0.05206558390244948
2023-04-04,0.15966599623752797,0.17297724695744016,0.13415922133293487,0.14870515031431325,0.1105850346027698,0.13696687,0.13965206038487035,0.04327293510142152
2023-04-05,0.15328811107772455,0.16785836724628467,0.13440314272619733,0.15252393721086732,0.131175138881674,0.12160035,0.14566239572342196,0.10152746416824764
2023-04-06,0.14467233390405312,0.15719262671620762,0.12947626384711683,0.13842935912020615,0.12070862859827072,0.12429097,0.1346034405408433,0.09940201423295938
